method,path,name,kind,actor,auth_dependencies,response_model,module,consumer_match,consumer_match_fragment,consumers,destination,target,vertical,note
GET,/,root,view,public,,,app.views.views,exact,/,app/static/js/about.js|app/static/js/admin.js|app/static/js/admin_login.js|app/static/js/base.js|app/static/js/career_lab.js|app/static/js/community.js|app/static/js/community_feed.js|app/static/js/company-candidates.js|app/static/js/company-dashboard.js|app/static/js/company-team.js|app/static/js/dashboard.js|app/static/js/home.js|app/static/js/jobs.js|app/static/js/login.js|app/static/js/questionnaire.js|app/static/js/register.js|app/static/js/resource_detail.js|app/static/js/roadmap_detail.js|app/static/js/roadmaps_list.js|app/static/js/safeDom.js|app/static/js/userProfile.js|app/templates/about.html|app/templates/admin.html|app/templates/admin_login.html|app/templates/base.html|app/templates/career_lab.html|app/templates/community.html|app/templates/community_feed.html|app/templates/company-candidates.html|app/templates/company-dashboard.html|app/templates/company-team.html|app/templates/dashboard.html|app/templates/home.html|app/templates/includes/company_header.html|app/templates/includes/footer.html|app/templates/includes/header.html|app/templates/includes/navbar.html|app/templates/includes/sidebar.html|app/templates/jobs.html|app/templates/login.html|app/templates/questionnaire.html|app/templates/register.html|app/templates/resource_detail.html|app/templates/resources.html|app/templates/roadmap.html|app/templates/roadmap_detail.html|app/templates/roadmaps_list.html|app/templates/userProfile.html,retire,SPA /,V1-TASK-046,Home publica; la sirve el bundle React tras Nginx.
GET,/about,about,view,public,,,app.views.views,exact,/about,app/templates/about.html|app/templates/home.html,retire,SPA /about,V1-TASK-046,
GET,/admin,admin_panel_page,view,student:optional,current_active_user_optional,,app.views.views,exact,/admin,app/static/js/admin.js|app/static/js/admin_login.js,retire,SPA /admin,V8-TASK-053,
GET,/admin/login,admin_login_page,view,student:optional,current_active_user_optional,,app.views.views,prefix,/admin,app/static/js/admin.js|app/static/js/admin_login.js,retire,SPA /admin/login,V8-TASK-053,
GET,/api/v1/admin/applications,list_applications,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/applications,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
GET,/api/v1/admin/communities,list_communities,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/communities,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/communities/{community_id},delete_community,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,DELETE /api/v1/admin/communities/{id},V8-TASK-053,
GET,/api/v1/admin/companies,list_companies,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/companies,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/companies/{company_id},delete_company,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,DELETE /api/v1/admin/companies/{id},V8-TASK-053,
GET,/api/v1/admin/jobs,list_jobs,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/job-postings,V8-TASK-053,La entidad es job posting; jobs colisiona con los jobs de analisis de CV.
DELETE,/api/v1/admin/jobs/{job_id},delete_job,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,DELETE /api/v1/admin/job-postings/{id},V8-TASK-053,
PATCH,/api/v1/admin/jobs/{job_id}/toggle-active,toggle_job_active,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PATCH /api/v1/admin/job-postings/{id},V8-TASK-053,Mismo criterio que toggle-active de usuarios en 5.2: estado explicito {is_active} en vez de toggle.
