method,path,destination,target,vertical,note
GET,/,retire,SPA /,V1-TASK-046,Home publica; la sirve el bundle React tras Nginx.
GET,/about,retire,SPA /about,V1-TASK-046,
GET,/admin,retire,SPA /admin,V8-TASK-053,
GET,/admin/login,retire,SPA /admin/login,V8-TASK-053,
GET,/api/v1/admin/applications,rest,GET /api/v1/admin/applications,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
GET,/api/v1/admin/communities,rest,GET /api/v1/admin/communities,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/communities/{community_id},rest,DELETE /api/v1/admin/communities/{id},V8-TASK-053,
GET,/api/v1/admin/companies,rest,GET /api/v1/admin/companies,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/companies/{company_id},rest,DELETE /api/v1/admin/companies/{id},V8-TASK-053,
GET,/api/v1/admin/jobs,rest,GET /api/v1/admin/job-postings,V8-TASK-053,La entidad es job posting; jobs colisiona con los jobs de analisis de CV.
DELETE,/api/v1/admin/jobs/{job_id},rest,DELETE /api/v1/admin/job-postings/{id},V8-TASK-053,
PATCH,/api/v1/admin/jobs/{job_id}/toggle-active,rest,PATCH /api/v1/admin/job-postings/{id},V8-TASK-053,Mismo criterio que toggle-active de usuarios en 5.2: estado explicito {is_active} en vez de toggle.
GET,/api/v1/admin/resources,rest,GET /api/v1/admin/resources,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
POST,/api/v1/admin/resources,rest,POST /api/v1/admin/resources,V8-TASK-053,
POST,/api/v1/admin/resources/upload-file,rest,POST /api/v1/admin/resource-files,V8-TASK-053,Crea un recurso de archivo con identidad propia; hoy es una accion anonima.
DELETE,/api/v1/admin/resources/{resource_id},rest,DELETE /api/v1/admin/resources/{id},V8-TASK-053,
GET,/api/v1/admin/resources/{resource_id},rest,GET /api/v1/admin/resources/{id},V8-TASK-053,
PUT,/api/v1/admin/resources/{resource_id},rest,PUT /api/v1/admin/resources/{id},V8-TASK-053,
PATCH,/api/v1/admin/resources/{resource_id}/toggle-locked,rest,PATCH /api/v1/admin/resources/{id},V8-TASK-053,Se funde con toggle-published en un PATCH con {is_locked}.
PATCH,/api/v1/admin/resources/{resource_id}/toggle-published,rest,PATCH /api/v1/admin/resources/{id},V8-TASK-053,Se funde con toggle-locked en un PATCH con {is_published}.
GET,/api/v1/admin/stats,rest,GET /api/v1/admin/stats,V8-TASK-053,Presenter de admin; unica ruta admin con consumidor literal en el JS actual.
GET,/api/v1/admin/users,rest,GET /api/v1/admin/users,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/users/{user_id},rest,DELETE /api/v1/admin/users/{id},V8-TASK-053,
GET,/api/v1/admin/users/{user_id}/resource-progress,rest,GET /api/v1/admin/users/{id}/resource-progress,V8-TASK-053,Proyeccion de progreso; debe salir de la policy unica de TASK-016.
PATCH,/api/v1/admin/users/{user_id}/toggle-active,rest,PATCH /api/v1/admin/users/{id},V8-TASK-053,Correspondencia explicita en 5.2 del plan 08.
